Date,Subscribers,Reach,Item Views,Hits
01-01-2010,25047,4627,9682,27225
01-02-2010,25204,1676,5434,28042
01-03-2010,25491,1485,6318,29824
01-04-2010,26503,6290,17238,48911
01-05-2010,26654,6544,16224,45521
01-06-2010,26851,6574,16717,43071
01-07-2010,26899,8026,22485,37825
01-08-2010,26791,6235,17706,41712
01-09-2010,25783,1626,6928,29823
01-10-2010,26093,1440,6374,31816
01-11-2010,27153,7204,17633,47007
01-12-2010,9495,7383,18405,44242
01-13-2010,9546,6672,17209,39722
01-14-2010,26756,7313,19343,38598
01-15-2010,27133,6287,18488,35961
01-16-2010,26124,1666,6377,31445
01-17-2010,25874,1728,6155,33733
01-18-2010,27245,6283,16287,38239
01-19-2010,27595,7585,19709,40198
01-20-2010,27667,8180,25778,45718
01-21-2010,27098,6889,20924,39998
01-22-2010,27592,8068,24207,38831
01-23-2010,26525,2760,9073,38339
01-24-2010,26974,2272,9251,40491
01-25-2010,28171,8885,23076,54885
01-26-2010,28357,8047,21261,41371
01-27-2010,28400,7683,19367,52517
01-28-2010,28267,8471,25166,52350
01-29-2010,28104,7725,19812,43748
01-30-2010,27175,2206,0,34352
01-31-2010,27611,6317,15620,44449
